stream,h,method,n,rel_bias,median_rel_bias,mape,rmse,mean_realized,cov50,cov90,origin_set
Y3,1,nowcast,34,0.24097899739667566,0.2905749632306588,0.6239310261652524,3.3727207153098435,4.5588235294117645,0.5588235294117647,0.7647058823529411,training 2018-01..2020-12
Y3,3,naive,35,-0.3954535147392291,-0.375,0.3954535147392291,2.4023797725231892,4.685714285714286,,,training 2018-01..2020-12
Y3,3,onestep,35,0.21682653667158633,0.25600000000000006,0.47320266795491417,2.811865687262443,4.685714285714286,,,training 2018-01..2020-12
Y3,3,nowcast,35,0.1913585634575361,0.24663703605510162,0.45562458662901834,2.728595140548814,4.685714285714286,0.8,0.9142857142857143,training 2018-01..2020-12
Y3,6,naive,35,-0.2455442176870748,-0.25,0.2455442176870748,1.6733200530681511,4.714285714285714,,,training 2018-01..2020-12
Y3,6,onestep,35,0.2658217882204933,0.27386934673366836,0.38507376500128765,2.181825226770357,4.714285714285714,,,training 2018-01..2020-12
Y3,6,nowcast,35,0.23725785700670485,0.20425608834997933,0.3564323288339585,2.1247484104873338,4.714285714285714,0.8,0.9714285714285714,training 2018-01..2020-12
Y3,12,naive,35,-0.13183673469387755,0.0,0.13183673469387755,1.1952286093343936,4.942857142857143,,,training 2018-01..2020-12
Y3,12,onestep,35,0.17734093115600838,0.30888030888030893,0.2532739040750848,1.301132140082794,4.942857142857143,,,training 2018-01..2020-12
Y3,12,nowcast,35,0.16277227318066628,0.27321755532676306,0.24750487687559541,1.281838899996459,4.942857142857143,0.7428571428571429,0.9714285714285714,training 2018-01..2020-12
Y3,24,naive,36,-0.04636243386243386,0.0,0.04636243386243386,0.6871842709362768,5.25,,,training 2018-01..2020-12
Y3,24,onestep,36,0.06987325938626195,0.11945949094297866,0.12098636612223333,0.7320299404681919,5.25,,,training 2018-01..2020-12
Y3,24,nowcast,36,0.06605647078757851,0.11496303195003788,0.11719655519359246,0.7130230216210004,5.25,0.8888888888888888,1.0,training 2018-01..2020-12
all,1,naive,36,-0.2739655415680168,-0.2685552935637564,0.2739655415680168,1434.909898448912,5159.083333333333,,,training 2018-01..2020-12
all,1,onestep,36,0.20927150314707238,0.22107592004785015,0.20927150314707238,1173.1772362378981,5159.083333333333,,,training 2018-01..2020-12
all,1,nowcast,36,0.15488696879582572,0.16421750099649174,0.1563349793901681,888.6356810295324,5159.083333333333,0.2222222222222222,0.9722222222222222,training 2018-01..2020-12
all,3,naive,36,-0.18036168188477186,-0.17177239298730906,0.18036168188477186,958.8593049382514,5222.611111111111,,,training 2018-01..2020-12
all,3,onestep,36,0.15940528552960778,0.1673040828643904,0.15940528552960778,906.8061718751296,5222.611111111111,,,training 2018-01..2020-12
all,3,nowcast,36,0.12448375770119584,0.13636276164178668,0.12522939749868348,719.5517932447332,5222.611111111111,0.2222222222222222,0.9444444444444444,training 2018-01..2020-12
all,6,naive,36,-0.12290419694739746,-0.11771335231668353,0.12290419694739746,654.0714155707057,5208.416666666667,,,training 2018-01..2020-12
all,6,onestep,36,0.11062882184952522,0.11516194429464355,0.11062882184952522,629.8594591725235,5208.416666666667,,,training 2018-01..2020-12
all,6,nowcast,36,0.08785691566745864,0.0988460384663882,0.08785691566745864,506.17157638203196,5208.416666666667,0.2222222222222222,1.0,training 2018-01..2020-12
all,12,naive,36,-0.06460896650035503,-0.057983857919741554,0.06460896650035503,360.2498361476996,5317.833333333333,,,training 2018-01..2020-12
all,12,onestep,36,0.05301946646126684,0.06152008671366453,0.054000240540786136,309.855585368511,5317.833333333333,,,training 2018-01..2020-12
all,12,nowcast,36,0.043187491407325945,0.04679036515785474,0.04393964395946574,244.78058566581745,5317.833333333333,0.2222222222222222,0.8611111111111112,training 2018-01..2020-12
all,24,naive,36,-0.0225173101949419,-0.019477382307260812,0.0225173101949419,150.30681584309107,5411.194444444444,,,training 2018-01..2020-12
all,24,onestep,36,0.008399913467023566,0.011035326379683446,0.011371639401052142,68.2756507147102,5411.194444444444,,,training 2018-01..2020-12
all,24,nowcast,36,0.006663137787670327,0.009442793568487286,0.009876032054325119,62.684040256555555,5411.194444444444,0.2222222222222222,0.7222222222222222,training 2018-01..2020-12
severe,1,naive,36,-0.2512593241155369,-0.24910688395290842,0.2512593241155369,96.09254798254534,369.75,,,training 2018-01..2020-12
severe,1,onestep,36,0.09846089008348052,0.10620043760588177,0.10186665212910702,41.65493372012542,369.75,,,training 2018-01..2020-12
severe,1,nowcast,36,0.08893390236020847,0.0976815536054503,0.08941504493597421,37.65483858619993,369.75,0.3611111111111111,0.8333333333333334,training 2018-01..2020-12
severe,3,naive,36,-0.14957022679933837,-0.14034160453989095,0.14957022679933837,58.58635601495549,374.9166666666667,,,training 2018-01..2020-12
severe,3,onestep,36,0.0863458930914972,0.10249393920199684,0.0863458930914972,35.66282708852277,374.9166666666667,,,training 2018-01..2020-12
severe,3,nowcast,36,0.0734952822178134,0.08283254333603449,0.0734952822178134,30.728327723893013,374.9166666666667,0.3333333333333333,0.8055555555555556,training 2018-01..2020-12
severe,6,naive,36,-0.10044162835964104,-0.0914017262099858,0.10044162835964104,39.80996525159666,381.72222222222223,,,training 2018-01..2020-12
severe,6,onestep,36,0.06669264193322309,0.0697282604232369,0.06669264193322309,27.89047087470008,381.72222222222223,,,training 2018-01..2020-12
