stream,W,d,F,lam
Y3,36,0,0.2607235427951334,1.6363636363636365
Y3,36,1,0.42663852457385465,1.2321428571428572
Y3,36,2,0.5256796106356424,1.0757575757575757
Y3,36,3,0.565503823562585,1.1304347826086956
Y3,36,4,0.6392651918533568,1.0649350649350648
Y3,36,5,0.6807759185970813,1.0240963855421688
Y3,36,6,0.6971801575994206,1.0465116279069768
Y3,36,7,0.7296071416738124,1.0224719101123596
Y3,36,8,0.7460028077788419,1.0
Y3,36,9,0.7460028077788419,1.0217391304347827
Y3,36,10,0.7622202601218603,1.0425531914893618
Y3,36,11,0.7946551648078969,1.0206185567010309
Y3,36,12,0.8110398073812555,1.02
Y3,36,13,0.8272606035288806,1.0198019801980198
Y3,36,14,0.8436420016185615,1.0185185185185186
Y3,36,15,0.8592650016485349,1.0185185185185186
Y3,36,16,0.8751773164938782,1.008849557522124
Y3,36,17,0.8829222484982489,1.017391304347826
Y3,36,18,0.8982774180373487,1.017391304347826
Y3,36,19,0.9138996340032156,1.0
Y3,36,20,0.9138996340032156,1.0085470085470085
Y3,36,21,0.921710741986149,1.0085470085470085
Y3,36,22,0.9295886115757742,1.0
Y3,36,23,0.9295886115757742,1.0078740157480315
Y3,36,24,0.9369082069425125,1.0
Y3,36,25,0.9369082069425125,1.0075757575757576
Y3,36,26,0.9440059963890467,1.0075187969924813
Y3,36,27,0.951103785835581,1.0
Y3,36,28,0.951103785835581,1.0
Y3,36,29,0.951103785835581,1.0072992700729928
Y3,36,30,0.9580461492358407,1.0
Y3,36,31,0.9580461492358407,1.0
Y3,36,32,0.9580461492358407,1.0
Y3,36,33,0.9580461492358407,1.0071942446043165
Y3,36,34,0.9649385675756669,1.0289855072463767
Y3,36,35,0.9929078014184397,1.0071428571428571
Y3,36,36,1.0,
severe,36,0,0.5012721673387367,1.4242677824267782
severe,36,1,0.7139457981678075,1.1013425210882737
severe,36,2,0.7862988652745129,1.0524483133841132
severe,36,3,0.8275389145740031,1.031895918581471
severe,36,4,0.8539340284162543,1.0225763612217795
severe,36,5,0.873212751501349,1.0182441286160668
severe,36,6,0.8891437572489292,1.0155062024809924
severe,36,7,0.9029310003835416,1.01103160405486
severe,36,8,0.9128917776686314,1.008727561241694
severe,36,9,0.9208590965652732,1.0080748399803052
severe,36,10,0.9282948864144462,1.0062093435836783
severe,36,11,0.9340589883111652,1.009643770911238
severe,36,12,0.9430668392120208,1.0070456991877874
severe,36,13,0.9497114044750862,1.0051874327101888
severe,36,14,0.9546379684798997,1.0031055900621118
severe,36,15,0.9576026826677254,1.0035703946733572
severe,36,16,0.9610217021851148,1.0031533683707596
severe,36,17,0.964052157624399,1.0025643460917466
severe,36,18,0.966524321007043,1.0027488151658768
severe,36,19,0.9691811177188159,1.0025430912687199
severe,36,20,0.9716458337570948,1.0033003300330032
severe,36,21,0.9748525856836858,1.0019662921348316
severe,36,22,0.9767694306555359,1.0019615169064076
severe,36,23,0.9786853804074288,1.0046403712296983
severe,36,24,0.9832268438895978,1.0021106726622007
severe,36,25,0.9853021139097374,1.001739767420566
severe,36,26,0.9870163104269323,1.00164744645799
severe,36,27,0.9886423669515235,1.001276556943558
severe,36,28,0.9899044252297511,1.0008171418195024
severe,36,29,0.9907133175329168,1.0017235123367199
severe,36,30,0.9924208241578374,1.0008177357804833
severe,36,31,0.993232362175048,1.000907029478458
severe,36,32,0.9941332532064993,1.001447963800905
severe,36,33,0.9955727221704183,1.0013583265417005
severe,36,34,0.9969250350231353,1.001085187194791
severe,36,35,0.998006885305309,1.00199709513435
severe,36,36,1.0,
all,all-history,0,0.46924685673729205,1.3750248405017336
all,all-history,1,0.6452260843411348,1.1041420374815112
all,all-history,2,0.712421243400638,1.0581460923404549
all,all-history,3,0.7538457548047132,1.0390345624471535
all,all-history,4,0.7832717939961593,1.029960960235198
all,all-history,5,0.8067393690694304,1.0250700683287621
all,all-history,6,0.8269643801755036,1.0195478219328171
all,all-history,7,0.8431297326239567,1.0161083402451072
all,all-history,8,0.8567111532278298,1.0135886104868093
all,all-history,9,0.868352667388748,1.0114942528735633
all,all-history,10,0.8783337325311474,1.0102129728904365
all,all-history,11,0.887304131130244,1.0216913577290223
all,all-history,12,0.9065509624530295,1.011251160572931
all,all-history,13,0.9167507128991337,1.0081089695742165
all,all-history,14,0.924184616537174,1.0069582624844735
all,all-history,15,0.9306153356831521,1.0061015856263067
